Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_O_277; METABO PE 12 175; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PONCEUSE_PIERRE_POUTRE; 
BRICO_O_278; Coffret de 28 pieces FACOM SM.441EP cliquet + douilles au pas metrique. Taille des douilles: 8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,26,27,28,29,30,32,34; NA; S.441AEP; FACOM; 1; 0001-01-01; 200; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; COFFRET_DOUILLE_demi_METRIQUE; 
BRICO_O_279; Coffret de 23 pieces FACOM S.441AUP cliquet + douilles au pas en pouce. Taille des douilles: 3/8, 7/16, 1/2, 9/16, 19/32, 5/8, 21/32, 11/16, 3/4, 25/32, 13/16, 7/8, 15/16, 31/32, 1', 1'1/16, 1'1/8, 1'1/4; NA; S.441AUP; FACOM; 1; 0001-01-01; 228; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; COFFRET_DOUILLE_demi_IMPERIAL; 
BRICO_O_280; Coffret de 19 pieces FACOM R.420P cliquet + douilles au pas metrique. Taille des douilles: 3.2, 4, 5, 5.5, 6 a 14.; NA; R.420P; FACOM; 1; 0001-01-01; 125; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; COFFRET_DOUILLE_quart_METRIQUE; 
BRICO_O_281; Decolleuse de moquette FESTOLL TPE-RS 100 Q-Plus + manche; ; ; ; 1; 0001-01-01; 830; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DECOLMOQUETTE1; 
BRICO_O_283; Tondeuse-debrousailleuse SARP DE516BV; ; ; ; 1; 0000-00-00; 1200; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DEBROU002; 
BRICO_O_284; Principales utilisations La sp?®cialiste des grandes surfaces La solution optimale pour le retrait de mat?®riau lors de travaux de r?®novation ou d'assainissement Pour l'?®limination du ciment, des rev?¬tements sur supports durs et des r?®sidus de colle Pour les grandes surfaces au sol ou au plafond L'outil adapt?® ?á chaque application et ?á chaque mat?®riau fraiseuse Festool RG 150 / Aspirateur festools CTM 36 E AV; ; ; ; 1; 0001-01-01; 2230; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; RENOVEUSE; 
BRICO_O_285; fend buche manuel fiskars; NA; Fend Buche; FISKARS; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; FENBUC002; 
BRICO_O_286; Betoniere ROLLBETA IMER; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; BETONIERE; 
BRICO_O_287; Equilibreur de charge BAHCO BH6AC1-680; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; EQUILIBREUR; 
BRICO_O_288; Coupeuse RUBI DIAMANT DW-250-NL Fa?ºon de coupe: humide Puissance: 1500 W Diam?¿tre de disque: 250 mm Longueur de coupe max.: 1030 mm Epaisseur de coupe max.: 60 mm; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CARREL003; 
BRICO_O_289; Cloueur ?á gaz MAKITA GN900SE Cloueur autonome ?á gaz sp?®cial bois (id?®al pour le clouage de charpente); ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CLOUEUSE; 
BRICO_O_290; Aerogommeuse Colibri ACF + casque; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; SABLEUSE; 
BRICO_O_291; Escabeau telescopique de 2.19m; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ESCATEL001; 
BRICO_O_292; Kit de ramonage complet - 6 cannes a ramoner de 1.53m chacunes - Entonoire receptacle Large eventail de herissons en accessoire; NA; Diametre[voir titre] - Pas 12x175; Progalva; 1; 2015-01-14; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; RAMONAGE; 
BRICO_O_293; Coupe a droite et coupe a gauche SUPERCOUP NR3 TO - Cisaille grignoteuse sp?®ciale t??le ondul?®e avec coupe copeaux int?®gr?®; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CISAILLE_TOLE; 
BRICO_O_294; Coupe-branches multifonctions t?®lescopique 6,50 m de port?®e 32 mm UP86; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ECHENI002; 
BRICO_O_295; Coupe tube plastique (voir la doc); ; ; ; 1; 0001-01-01; 86; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; COUTUB002; 
BRICO_O_296; Extracteur de rotule FACOM U16B; NA; U16B; FACOM; 1; 2015-01-14; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; EXTRACTEUR_ROTULE01; 
BRICO_O_297; systeme de desembouage SENTINEL Jet Flush; ; ; ; 1; 2015-01-14; 500; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DESEMBOUEUSE; 
BRICO_O_298; Odometre nedo (precision 10 cm); NA; 10D M 05-2014 GE; NEDO; 1; 2015-01-14; 83; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ODOMETRE01; 
BRICO_O_299; Pince a ressort variable taille moyenne - lot de 2; ; ; ; 1; 2015-01-14; 20; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; LOT_PINCE01; 
BRICO_O_300; Pince a ressort variable taille moyenne - lot de 2; ; ; ; 1; 2015-01-14; 20; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; LOT_PINCE02; 
BRICO_O_301; Pince a ressort variable taille grande- lot de 2; ; ; ; 1; 2015-01-14; 21; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; LOT_PINCE03; 
BRICO_O_302; Pince a ressort variable taille grande- lot de 2; ; ; ; 1; 2015-01-14; 21; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; LOT_PINCE04; 
BRICO_O_303; Agrafeuse electrique Arrow ET50 RED; ; ; ; 1; 2015-01-14; 138; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; AGRAEL002; 
BRICO_O_304; 5 Forets cloches diamant 35mm, 45mm, 55mm, 68mm, 105mm; ; ; ; 1; 2015-01-14; 180; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; FORET_DIAM; 
BRICO_O_305; Motobineuse SARP SMCS; ; ; ; 1; 2015-01-14; 450; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; MOTOBI002; 
BRICO_O_306; EDMA Straticut 890 + 2 cales de dilatation d'equerage; ; ; ; 1; 2015-01-14; 233; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; GUILLOTINE_PARQUET; 
BRICO_O_307; Niveau laser BOSH GLL 3-80 P; ; ; ; 1; 2015-01-14; 494; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; NLASER002; 
BRICO_O_308; Taille haie KAAZ TMA 501, taille de coupe 55cm; ; ; ; 1; 2015-01-14; 637; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TAILLH005; 
BRICO_O_309; Leve plaque EDMA 645 et 2 griffres EDMA 64055; ; ; ; 1; 2015-01-14; 36; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PORTEPLAQUE; 
BRICO_O_310; lot de 4 pinces circlips FACOM PCSNJ4PB (circlip interieur 12-25 & 18-60) (circlips exterieur 10-25 & 18-60); NA; PCSNJ4PB; FACOM; 1; 2015-01-14; 82; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PINCE_CIRCLIPS; 
BRICO_O_311; Vibreur a beton - ENAR DINGO avec tuyau de 3m et aiguille de 40mm; ; ; ; 1; 2015-01-14; 480; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; VIBREURBETON; 
BRICO_O_312; EDMA 66155 Etai 3ieme main pour maintien de plaques de platre au plafond ou en sous pente - deployable de 1.6m a 2.9 m; ; ; ; 1; 2015-01-14; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ETAI_PLAQUISTE; 
BRICO_O_313; Tronconneuse thermique EFCO MT6500; ; ; ; 1; 2015-03-29; 582; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TRONCO005; 
BRICO_O_314; Pince Etau FACOM 516; NA; Pince 516; FACOM; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PINCE_ETAU_1; 
BRICO_O_315; Pince Etau FACOM 516; NA; Pince 516; FACOM; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PINCE_ETAU_2; 
BRICO_O_316; Pince etau FACOM T5L; NA; Pince T5L; FACOM; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PINCE_ETAU_3; 
BRICO_O_317; Pince etau FACOM T5L; NA; Pince T5L; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PINCE_ETAU_4; 
BRICO_O_318; aspirateur a cendre Amphora 810 - 830 watt; NA; 0810; Amphora; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; RAMONAGE_KIT_ASPI; 
BRICO_O_319; Kit de ralonge (largeur de travail) de rainurage (brise-mottes) et soc.; ; ; ; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; MOTOBI002_KIT; 
BRICO_O_320; Harnais - kit anti chute pour couvreur Harnais HT22 + connecteur + longe + 10m de cordage; NA; HT22; ; 1; 0001-01-01; 275.28; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; HARNAIS001; 

