Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_O_197; Regle de macon aluminium 4m (4000x100x18); ; ; ; 1; 2012-03-29; 33.7; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; REGLMAC3; 
BRICO_O_198; Grattoir de sol sur manche avec lame en carbure; ; ; ; 1; 2012-03-29; 81.8; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; GRATTOIR1; 
BRICO_O_199; Cle a molette de 0 a 45mm; ; ; ; 1; 2012-03-29; 56.7; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CLEMOLET1; 
BRICO_O_200; cle a molette de 0 a 45 mm; ; ; ; 1; 2012-03-29; 56.7; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CLEMOLET2; 
BRICO_O_201; Tournevis a frapper 13 pieces (Facom NS.263M); NA; NS.263M; FACOM; 1; 2012-03-29; 154.5; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TOURFRAP1; 
BRICO_O_202; Touret a meuler diametre 200mm meule+brosse 900W SIDAMO; ; ; ; 1; 2012-03-29; 260.2; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TOURET001; 
BRICO_O_203; extracteur a 2 griffes exterieur de 10 a 80mm (Facom U.301); NA; U.301; FACOM; 1; 2012-03-29; 58.2; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; EXTRACT01; 
BRICO_O_204; Extracteur a 3 griffes. 2 lot de griffes : exterieur de 10 a 180mm, interieur de 50 a 170mm (Facom U.306-180PB); NA; U.306-180PB; FACOM; 1; 2012-03-29; 205.72; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; EXTRACT02; 
BRICO_O_205; Coffret d'embouts a 6 pans 5 a 19mm carre 1/2 (Facom STM J9); ; ; ; 1; 2012-03-29; 162; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; EMB6PAN1; 
BRICO_O_206; Bac a gacher 200x140cm; ; ; ; 1; 2012-03-29; 113.6; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; BACGACHE1; 
